Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-17,22-316,BOS,@,CLE,L (-3),0,8:39,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-10
2,2,2017-10-18,22-317,BOS,,MIL,L (-8),0,11:39,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,0,3,1.3,0
3,,2017-10-20,22-319,BOS,@,PHI,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3,2017-10-24,22-323,BOS,,NYK,W (+21),0,15:37,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,3,0,-1.3,+7
5,4,2017-10-26,22-325,BOS,@,MIL,W (+7),0,13:46,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,0.0,-2
6,5,2017-10-28,22-327,BOS,@,MIA,W (+6),0,6:52,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-7
7,6,2017-10-30,22-329,BOS,,SAS,W (+14),0,21:54,2,5,.400,1,4,.250,2,3,.667,2,2,4,0,0,0,0,1,7,5.5,+1
8,7,2017-11-01,22-331,BOS,,SAC,W (+27),0,22:27,3,6,.500,3,6,.500,2,2,1.000,1,1,2,0,0,0,0,2,11,8.2,+8
9,8,2017-11-03,22-333,BOS,@,OKC,W (+7),0,14:21,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,4.0,-2
10,9,2017-11-05,22-335,BOS,@,ORL,W (+16),0,16:46,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,0,0,5,6.0,+6
11,10,2017-11-06,22-336,BOS,@,ATL,W (+3),0,16:09,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,0,3,6,4.1,-4
12,11,2017-11-08,22-338,BOS,,LAL,W (+11),0,26:19,1,6,.167,0,2,.000,2,3,.667,1,3,4,1,1,0,3,0,4,0.1,+10
13,12,2017-11-10,22-340,BOS,,CHO,W (+3),0,9:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-10
14,13,2017-11-12,22-342,BOS,,TOR,W (+1),0,6:58,0,2,.000,0,2,.000,0,0,,1,0,1,0,1,0,0,2,0,-0.5,-13
15,14,2017-11-14,22-344,BOS,@,BRK,W (+7),0,7:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-11
16,15,2017-11-16,22-346,BOS,,GSW,W (+4),0,16:33,0,3,.000,0,3,.000,2,2,1.000,1,4,5,0,0,0,0,1,2,1.4,0
17,16,2017-11-18,22-348,BOS,@,ATL,W (+11),0,2:40,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-5
18,17,2017-11-20,22-350,BOS,@,DAL,W (+8),0,11:42,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,2,0,0.1,-7
19,18,2017-11-22,22-352,BOS,@,MIA,L (-6),0,4:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2
20,19,2017-11-24,22-354,BOS,,ORL,W (+15),0,26:53,2,8,.250,1,7,.143,2,6,.333,2,3,5,0,1,0,1,3,7,1.7,+3
21,20,2017-11-25,22-355,BOS,@,IND,W (+10),0,19:11,2,6,.333,2,5,.400,0,0,,0,3,3,1,1,0,1,0,6,4.2,-4
22,21,2017-11-27,22-357,BOS,,DET,L (-10),0,6:34,1,2,.500,1,1,1.000,0,0,,1,2,3,0,1,0,1,0,3,3.3,+5
23,22,2017-11-30,22-360,BOS,,PHI,W (+11),0,16:04,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,1,0,0.5,+1
24,23,2017-12-02,22-362,BOS,,PHO,W (+5),0,15:21,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,0,0,6,5.3,-1
25,24,2017-12-04,22-364,BOS,,MIL,W (+11),0,12:36,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,1,0,0.0,-5
26,25,2017-12-06,23-001,BOS,,DAL,W (+7),0,24:52,0,3,.000,0,3,.000,0,0,,1,2,3,0,0,0,0,1,0,-1.2,-14
27,26,2017-12-08,23-003,BOS,@,SAS,L (-3),0,7:28,0,3,.000,0,2,.000,0,0,,2,0,2,0,0,0,0,0,0,-0.7,-4
28,27,2017-12-10,23-005,BOS,@,DET,W (+10),0,13:09,2,4,.500,1,3,.333,0,0,,2,2,4,0,0,0,0,0,5,5.0,+5
29,28,2017-12-11,23-006,BOS,@,CHI,L (-23),0,11:50,0,1,.000,0,1,.000,0,0,,2,3,5,0,0,0,0,1,0,1.2,-5
30,29,2017-12-13,23-008,BOS,,DEN,W (+6),0,28:43,0,4,.000,0,3,.000,0,0,,0,5,5,0,2,0,2,3,0,-2.5,-2
31,30,2017-12-15,23-010,BOS,,UTA,L (-12),0,19:32,3,5,.600,1,3,.333,0,1,.000,0,1,1,0,1,0,0,1,7,5.2,+8
32,31,2017-12-16,23-011,BOS,@,MEM,W (+9),0,4:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
33,32,2017-12-18,23-013,BOS,@,IND,W (+1),0,14:44,1,1,1.000,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,1,5,5.3,-9
34,33,2017-12-20,23-015,BOS,,MIA,L (-1),0,10:12,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-4
35,34,2017-12-21,23-016,BOS,@,NYK,L (-9),0,19:16,1,2,.500,1,1,1.000,1,2,.500,1,1,2,1,0,0,1,0,4,3.3,-5
36,35,2017-12-23,23-018,BOS,,CHI,W (+25),0,11:23,2,5,.400,2,3,.667,0,0,,0,1,1,0,0,0,0,1,6,3.2,-10
37,,2017-12-25,23-020,BOS,,WAS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2017-12-27,23-022,BOS,@,CHO,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2017-12-28,23-023,BOS,,HOU,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2017-12-31,23-026,BOS,,BRK,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,36,2018-01-03,23-029,BOS,,CLE,W (+14),0,22:59,0,4,.000,0,4,.000,0,0,,0,2,2,1,2,0,1,3,0,-1.7,-3
42,37,2018-01-05,23-031,BOS,,MIN,W (+7),0,2:53,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-1
43,38,2018-01-06,23-032,BOS,@,BRK,W (+2),0,7:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0.6,+2
44,39,2018-01-11,23-037,BOS,@,PHI,W (+11),0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
45,40,2018-01-16,23-042,BOS,,NOP,L (-3),0,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-3
46,41,2018-01-18,23-044,BOS,,PHI,L (-9),0,3:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4
47,42,2018-01-21,23-047,BOS,,ORL,L (-8),0,9:32,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-16
48,,2018-01-23,23-049,BOS,@,LAL,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,43,2018-01-24,23-050,BOS,@,LAC,W (+11),0,17:33,3,5,.600,2,3,.667,0,0,,2,3,5,0,1,0,1,5,8,6.0,+8
50,44,2018-01-27,23-053,BOS,@,GSW,L (-4),0,5:42,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-1
51,45,2018-01-29,23-055,BOS,@,DEN,W (+1),0,16:09,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,0,0,0,6,5.3,+5
52,46,2018-01-31,23-057,BOS,,NYK,W (+30),0,26:03,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,2,3,1.8,+18
53,47,2018-02-02,23-059,BOS,,ATL,W (+9),0,27:05,2,5,.400,1,3,.333,0,0,,0,4,4,0,0,0,0,1,5,3.1,-1
54,48,2018-02-04,23-061,BOS,,POR,W (+1),0,27:53,2,7,.286,2,7,.286,0,0,,2,4,6,1,1,1,0,2,6,6.1,-5
55,49,2018-02-06,23-063,BOS,@,TOR,L (-20),0,19:46,0,4,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,6,0,-3.2,-18
56,,2018-02-08,23-065,BOS,@,WAS,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,50,2018-02-09,23-066,BOS,,IND,L (-6),0,11:17,0,1,.000,0,0,,1,2,.500,1,3,4,0,0,0,0,1,1,1.1,-1
58,51,2018-02-11,23-068,BOS,,CLE,L (-22),0,24:29,1,5,.200,0,4,.000,2,2,1.000,0,1,1,0,0,0,0,2,4,0.4,-15
59,,2018-02-14,23-071,BOS,,LAC,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,52,2018-02-23,23-080,BOS,@,DET,W (+12),0,19:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,+8
61,53,2018-02-24,23-081,BOS,@,NYK,W (+9),0,4:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-10
62,54,2018-02-26,23-083,BOS,,MEM,W (+11),0,13:06,0,0,,0,0,,0,0,,0,2,2,1,1,0,1,0,0,1.3,+16
63,55,2018-02-28,23-085,BOS,,CHO,W (+28),0,20:38,1,3,.333,0,0,,1,2,.500,2,1,3,1,0,0,0,0,3,3.3,-4
64,,2018-03-03,23-088,BOS,@,HOU,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,56,2018-03-05,23-090,BOS,@,CHI,W (+16),0,6:32,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.8,-7
66,57,2018-03-08,23-093,BOS,@,MIN,W (+8),0,6:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
67,58,2018-03-11,23-096,BOS,,IND,L (-2),0,8:59,1,1,1.000,0,0,,0,1,.000,1,0,1,0,0,0,0,1,2,1.6,+1
68,59,2018-03-14,23-099,BOS,,WAS,L (-1),0,27:14,1,2,.500,1,1,1.000,2,2,1.000,1,0,1,1,1,0,2,2,5,3.6,-9
69,60,2018-03-16,23-101,BOS,@,ORL,W (+9),0,22:50,0,0,,0,0,,1,2,.500,0,3,3,1,0,0,0,3,1,1.0,-11
70,61,2018-03-18,23-103,BOS,@,NOP,L (-19),0,23:22,1,3,.333,1,2,.500,0,0,,0,3,3,0,0,0,1,3,3,0.0,-1
71,62,2018-03-20,23-105,BOS,,OKC,W (+1),0,27:13,0,6,.000,0,3,.000,2,2,1.000,1,5,6,0,0,0,0,1,2,-0.4,-9
72,63,2018-03-23,23-108,BOS,@,POR,W (+5),0,11:42,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+8
73,64,2018-03-25,23-110,BOS,@,SAC,W (+11),0,27:33,3,6,.500,2,3,.667,1,4,.250,1,1,2,0,0,0,1,2,9,4.0,-3
74,65,2018-03-26,23-111,BOS,@,PHO,W (+8),0,20:06,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,-6
75,66,2018-03-28,23-113,BOS,@,UTA,W (+3),0,32:24,3,3,1.000,1,1,1.000,0,1,.000,0,4,4,1,2,0,1,1,7,8.2,+7
76,67,2018-03-31,23-116,BOS,,TOR,W (+11),0,17:50,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,1,0,2,1.0,+2
77,68,2018-04-03,23-119,BOS,@,MIL,L (-4),0,18:09,1,1,1.000,0,0,,0,0,,2,3,5,0,0,0,0,3,2,2.8,-7
78,69,2018-04-04,23-120,BOS,@,TOR,L (-18),0,17:39,0,2,.000,0,1,.000,2,2,1.000,0,2,2,0,1,0,1,2,2,0.4,-19
79,70,2018-04-06,23-122,BOS,,CHI,W (+7),0,23:50,3,5,.600,1,3,.333,0,0,,0,5,5,0,1,0,0,1,7,6.8,
