Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1950,2018,69,5469,2717,2752,.497,46,11,0,1
Atlanta Hawks,NBA,1969,2018,50,4051,2019,2032,.498,33,5,0,0
St. Louis Hawks,NBA,1956,1968,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1952,1955,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1950,1951,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1947,2018,72,5640,3328,2312,.590,55,31,9,17
Brooklyn Nets,NBA/ABA,1968,2018,51,4138,1781,2357,.430,26,5,2,2
Brooklyn Nets,NBA,2013,2018,6,490,199,291,.406,3,0,0,0
New Jersey Nets,NBA,1978,2012,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1977,1977,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1969,1976,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1968,1968,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1989,2018,28,2247,987,1260,.439,10,0,0,0
Charlotte Hornets,NBA,2015,2018,4,327,152,175,.465,1,0,0,0
Charlotte Bobcats,NBA,2005,2014,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1989,2002,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1967,2018,52,4213,2183,2030,.518,35,9,6,6
Cleveland Cavaliers,NBA,1971,2018,48,3886,1828,2058,.470,22,6,4,1
Dallas Mavericks,NBA,1981,2018,38,3067,1539,1528,.502,21,3,2,1
Denver Nuggets,NBA/ABA,1968,2018,51,4138,2061,2077,.498,33,10,0,0
Denver Nuggets,NBA,1977,2018,42,3394,1648,1746,.486,24,7,0,0
Denver Nuggets,ABA,1975,1976,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1968,1974,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1949,2018,70,5530,2691,2839,.487,41,11,5,3
Detroit Pistons,NBA,1958,2018,61,4911,2378,2533,.484,33,9,5,3
Fort Wayne Pistons,NBA/BAA,1949,1957,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1947,2018,72,5637,2715,2922,.482,34,10,4,5
Golden State Warriors,NBA,1972,2018,47,3805,1827,1978,.480,17,5,4,3
San Francisco Warriors,NBA,1963,1971,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1947,1962,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1968,2018,51,4132,2171,1961,.525,32,5,4,2
Houston Rockets,NBA,1972,2018,47,3804,2052,1752,.539,31,5,4,2
San Diego Rockets,NBA,1968,1971,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1968,2018,51,4138,2123,2015,.513,34,9,1,3
Indiana Pacers,NBA,1977,2018,42,3394,1696,1698,.500,25,6,1,0
Indiana Pacers,ABA,1968,1976,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1971,2018,48,3886,1562,2324,.402,13,2,0,0
Los Angeles Clippers,NBA,1985,2018,34,2738,1117,1621,.408,10,2,0,0
San Diego Clippers,NBA,1979,1984,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1971,1978,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1949,2018,70,5531,3295,2236,.596,60,32,18,16
Los Angeles Lakers,NBA,1961,2018,58,4692,2838,1854,.605,49,28,18,11
Minneapolis Lakers,NBA/BAA,1949,1960,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1996,2018,23,1836,759,1077,.413,10,0,0,0
Memphis Grizzlies,NBA,2002,2018,17,1376,658,718,.478,10,0,0,0
Vancouver Grizzlies,NBA,1996,2001,6,460,101,359,.220,0,0,0,0
Miami Heat,NBA,1989,2018,30,2410,1254,1156,.520,20,12,5,3
Milwaukee Bucks,NBA,1969,2018,50,4050,2068,1982,.511,30,13,2,1
Minnesota Timberwolves,NBA,1990,2018,29,2328,923,1405,.396,8,1,0,0
New Orleans Pelicans,NBA,2003,2018,16,1294,608,686,.470,6,1,0,0
New Orleans Pelicans,NBA,2014,2018,5,408,189,219,.463,1,0,0,0
NO/Ok. City Hornets,NBA,2006,2007,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,NBA,2003,2013,9,722,342,380,.474,5,1,0,0
New York Knicks,NBA/BAA,1947,2018,72,5637,2760,2877,.490,42,8,4,2
Oklahoma City Thunder,NBA,1968,2018,51,4132,2232,1900,.540,29,11,4,1
Oklahoma City Thunder,NBA,2009,2018,10,802,487,315,.607,7,5,1,0
Seattle SuperSonics,NBA,1968,2008,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,NBA,1990,2018,29,2328,1115,1213,.479,14,5,2,0
Philadelphia 76ers,NBA,1950,2018,69,5466,2804,2662,.513,48,11,5,3
Philadelphia 76ers,NBA,1964,2018,55,4453,2228,2225,.500,34,8,5,2
Syracuse Nationals,NBA,1950,1963,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,NBA,1969,2018,50,4051,2166,1885,.535,29,6,2,0
Portland Trail Blazers,NBA,1971,2018,48,3886,2080,1806,.535,34,5,3,1
Sacramento Kings,NBA/BAA,1949,2018,70,5531,2522,3009,.456,29,5,0,1
Sacramento Kings,NBA,1986,2018,33,2656,1116,1540,.420,10,2,0,0
Kansas City Kings,NBA,1976,1985,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1973,1975,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,NBA,1958,1972,15,1189,555,634,.467,7,0,0,0
Rochester Royals,NBA/BAA,1949,1957,9,620,357,263,.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1968,2018,51,4138,2491,1647,.602,45,22,6,5
San Antonio Spurs,NBA,1977,2018,42,3394,2113,1281,.623,37,22,6,5
San Antonio Spurs,ABA,1974,1976,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1971,1971,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1968,1973,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1996,2018,23,1836,843,993,.459,10,4,0,0
Utah Jazz,NBA,1975,2018,44,3558,1913,1645,.538,26,9,2,0
Utah Jazz,NBA,1980,2018,39,3148,1752,1396,.557,26,9,2,0
New Orleans Jazz,NBA,1975,1979,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1962,2018,57,4613,2095,2518,.454,29,8,4,1
Washington Wizards,NBA,1998,2018,21,1672,717,955,.429,8,1,0,0
Washington Bullets,NBA,1975,1997,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1974,1974,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1964,1973,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1963,1963,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1962,1962,1,80,18,62,.225,0,0,0,0